provstate,Percent,iyear
Missouri,9.8,1998
Montana,16.6,1998
Nebraska,12.3,1998
Nevada,10.6,1998
New Hampshire,9.8,1998
New Jersey,8.6,1998
New Mexico,20.4,1998
New York,16.7,1998
North Carolina,14,1998
North Dakota,15.1,1998
Ohio,11.2,1998
Oklahoma,14.1,1998
Oregon,15,1998
Pennsylvania,11.3,1998
Rhode Island,11.6,1998
South Carolina,13.7,1998
South Dakota,10.8,1998
Tennessee,13.4,1998
Texas,15.1,1998
Utah,9,1998
Vermont,9.9,1998
Virginia,8.8,1998
Washington,8.9,1998
West Virginia,17.8,1998
Wisconsin,8.8,1998
Wyoming,10.6,1998
Alabama,15.7,1997
Alaska,8.8,1997
Arizona,17.2,1997
Arkansas,19.7,1997
California,16.6,1997
Colorado,8.2,1997
Connecticut,8.6,1997
Delaware,9.6,1997
D.C.,21.8,1997
Florida,14.3,1997
Georgia,14.5,1997
Hawaii,13.9,1997
Idaho,14.7,1997
Illinois,11.2,1997
Indiana,8.8,1997
Iowa,9.6,1997
Kansas,9.7,1997
Kentucky,15.9,1997
Louisiana,16.3,1997
Maine,10.1,1997
Maryland,8.4,1997
Massachusetts,12.2,1997
Michigan,10.3,1997
Minnesota,9.6,1997
Mississippi,16.7,1997
Missouri,11.8,1997
Montana,15.6,1997
Nebraska,9.8,1997
Nevada,11,1997
New Hampshire,9.1,1997
New Jersey,9.3,1997
New Mexico,21.2,1997
New York,16.5,1997
North Carolina,11.4,1997
North Dakota,13.6,1997
Ohio,11,1997
Oklahoma,13.7,1997
Oregon,11.6,1997
Pennsylvania,11.2,1997
Rhode Island,12.7,1997
South Carolina,13.1,1997
South Dakota,16.5,1997
Tennessee,14.3,1997
Texas,16.7,1997
Utah,8.9,1997
Vermont,9.3,1997
Virginia,12.7,1997
Washington,9.2,1997
West Virginia,16.4,1997
Wisconsin,8.2,1997
Wyoming,13.5,1997
Alabama,14,1996
Alaska,8.2,1996
Arizona,20.5,1996
Arkansas,17.2,1996
California,16.9,1996
Colorado,10.6,1996
Connecticut,11.7,1996
Delaware,8.6,1996
D.C.,24.1,1996
Florida,14.2,1996
Georgia,14.8,1996
Hawaii,12.1,1996
Idaho,11.9,1996
Illinois,12.1,1996
Indiana,7.5,1996
Iowa,9.6,1996
Kansas,11.2,1996
Kentucky,17,1996
Louisiana,20.5,1996
Maine,11.2,1996
Maryland,10.3,1996
Massachusetts,10.1,1996
Michigan,11.2,1996
Minnesota,9.8,1996
Mississippi,20.6,1996
Missouri,9.5,1996
Montana,17,1996
Nebraska,10.2,1996
Nevada,8.1,1996
New Hampshire,6.4,1996
New Jersey,9.2,1996
New Mexico,25.5,1996
New York,16.7,1996
North Carolina,12.2,1996
North Dakota,11,1996
Ohio,12.7,1996
Oklahoma,16.6,1996
Oregon,11.8,1996
Pennsylvania,11.6,1996
Rhode Island,11,1996
South Carolina,13,1996
South Dakota,11.8,1996
Tennessee,15.9,1996
Texas,16.6,1996
Utah,7.7,1996
Vermont,12.6,1996
Virginia,12.3,1996
Washington,11.9,1996
West Virginia,18.5,1996
Wisconsin,8.8,1996
Wyoming,11.9,1996
Alabama,20.1,1995
Alaska,7.1,1995
Arizona,16.1,1995
Arkansas,14.9,1995
California,16.7,1995
Colorado,8.8,1995
Connecticut,9.7,1995
Delaware,10.3,1995
D.C.,22.2,1995
Florida,16.2,1995
Georgia,12.1,1995
Hawaii,10.3,1995
Idaho,14.5,1995
Illinois,12.4,1995
Indiana,9.6,1995
Iowa,12.2,1995
Kansas,10.8,1995
Kentucky,14.7,1995
Louisiana,19.7,1995
Maine,11.2,1995
Maryland,10.1,1995
Massachusetts,11,1995
Michigan,12.2,1995
Minnesota,9.2,1995
Mississippi,23.5,1995
Missouri,9.4,1995
Montana,15.3,1995
Nebraska,9.6,1995
Nevada,11.1,1995
New Hampshire,5.3,1995
New Jersey,7.8,1995
New Mexico,25.3,1995
New York,16.5,1995
North Carolina,12.6,1995
North Dakota,12,1995
Ohio,11.5,1995
Oklahoma,17.1,1995
Oregon,11.2,1995
Pennsylvania,12.2,1995
Rhode Island,10.6,1995
South Carolina,19.9,1995
South Dakota,14.5,1995
Tennessee,15.5,1995
Texas,17.4,1995
Utah,8.4,1995
Vermont,10.3,1995
Virginia,10.2,1995
Washington,12.5,1995
West Virginia,16.7,1995
Wisconsin,8.5,1995
Wyoming,12.2,1995
Alabama,16.4,1994
Alaska,10.2,1994
Arizona,15.9,1994
Arkansas,15.3,1994
California,17.9,1994
Colorado,9,1994
Connecticut,10.8,1994
Delaware,8.3,1994
D.C.,21.2,1994
Florida,14.9,1994
Georgia,14,1994
Hawaii,8.7,1994
Idaho,12,1994
Illinois,12.4,1994
Indiana,13.7,1994
Iowa,10.7,1994
Kansas,14.9,1994
Kentucky,18.5,1994
Louisiana,25.7,1994
Maine,9.4,1994
Maryland,10.7,1994
Massachusetts,9.7,1994
Michigan,14.1,1994
Minnesota,11.7,1994
Mississippi,19.9,1994
Missouri,15.6,1994
Montana,11.5,1994
Nebraska,8.8,1994
Nevada,11.1,1994
New Hampshire,7.7,1994
New Jersey,9.2,1994
New Mexico,21.1,1994
New York,17,1994
North Carolina,14.2,1994
North Dakota,10.4,1994
Ohio,14.1,1994
Oklahoma,16.7,1994
Oregon,11.8,1994
Pennsylvania,12.5,1994
Rhode Island,10.3,1994
South Carolina,13.8,1994
South Dakota,14.5,1994
Tennessee,14.6,1994
Texas,19.1,1994
Utah,8,1994
Vermont,7.6,1994
Virginia,10.7,1994
Washington,11.7,1994
West Virginia,18.6,1994
Wisconsin,9,1994
Wyoming,9.3,1994
Alabama,17.4,1993
Alaska,9.1,1993
Arizona,15.4,1993
Arkansas,20,1993
California,18.2,1993
Colorado,9.9,1993
Connecticut,8.5,1993
Delaware,10.2,1993
D.C.,26.4,1993
Florida,17.8,1993
Georgia,13.5,1993
Hawaii,8,1993
Idaho,13.1,1993
Illinois,13.6,1993
Indiana,12.2,1993
Iowa,10.3,1993
Kansas,13.1,1993
Kentucky,20.4,1993
Louisiana,26.4,1993
Maine,15.4,1993
Maryland,9.7,1993
Massachusetts,10.7,1993
Michigan,15.4,1993
Minnesota,11.6,1993
Mississippi,24.7,1993
Missouri,16.1,1993
Montana,14.9,1993
Nebraska,10.3,1993
Nevada,9.8,1993
New Hampshire,9.9,1993
New Jersey,10.9,1993
New Mexico,17.4,1993
New York,16.4,1993
North Carolina,14.4,1993
North Dakota,11.2,1993
Ohio,13,1993
Oklahoma,19.9,1993
Oregon,11.8,1993
Pennsylvania,13.2,1993
Rhode Island,11.2,1993
South Carolina,18.7,1993
South Dakota,14.2,1993
Tennessee,19.6,1993
Texas,17.4,1993
Utah,10.7,1993
Vermont,10,1993
Virginia,9.7,1993
Washington,12.1,1993
West Virginia,22.2,1993
Wisconsin,12.6,1993
Wyoming,13.3,1993
Alabama,17.3,1992
Alaska,10.2,1992
Arizona,15.8,1992
Arkansas,17.5,1992
California,16.4,1992
Colorado,10.8,1992
Connecticut,9.8,1992
Delaware,7.8,1992
D.C.,20.3,1992
Florida,15.6,1992
Georgia,17.7,1992
Hawaii,11.2,1992
Idaho,15.2,1992
Illinois,15.6,1992
Indiana,11.8,1992
Iowa,11.5,1992
Kansas,11.1,1992
Kentucky,19.7,1992
Louisiana,24.5,1992
Maine,13.5,1992
Maryland,11.8,1992
Massachusetts,10.3,1992
Michigan,13.6,1992
Minnesota,13,1992
Mississippi,24.6,1992
Missouri,15.7,1992
Montana,13.8,1992
Nebraska,10.6,1992
Nevada,14.7,1992
New Hampshire,8.7,1992
New Jersey,10.3,1992
New Mexico,21.6,1992
New York,15.7,1992
North Carolina,15.8,1992
North Dakota,12.1,1992
Ohio,12.5,1992
Oklahoma,18.6,1992
Oregon,11.4,1992
Pennsylvania,11.9,1992
Rhode Island,12.4,1992
South Carolina,19,1992
South Dakota,15.1,1992
Tennessee,17,1992
Texas,18.3,1992
Utah,9.4,1992
Vermont,10.5,1992
Virginia,9.5,1992
Washington,11.2,1992
West Virginia,22.3,1992
Wisconsin,10.9,1992
Wyoming,10.3,1992
Alabama,18.8,1991
Alaska,11.8,1991
Arizona,14.8,1991
Arkansas,17.3,1991
California,15.7,1991
Colorado,10.4,1991
Connecticut,8.6,1991
Delaware,7.5,1991
D.C.,18.6,1991
Florida,15.4,1991
Georgia,17.2,1991
Hawaii,7.7,1991
Idaho,13.9,1991
Illinois,13.5,1991
Indiana,15.7,1991
Iowa,9.6,1991
Kansas,12.3,1991
Kentucky,18.8,1991
Louisiana,19,1991
Maine,14.1,1991
Maryland,9.1,1991
Massachusetts,11,1991
Michigan,14.1,1991
Minnesota,12.9,1991
Mississippi,23.7,1991
Missouri,14.8,1991
Montana,15.4,1991
Nebraska,9.5,1991
Nevada,11.4,1991
New Hampshire,7.3,1991
New Jersey,9.7,1991
New Mexico,22.4,1991
New York,15.3,1991
North Carolina,14.5,1991
North Dakota,14.5,1991
Ohio,13.4,1991
Oklahoma,17,1991
Oregon,13.5,1991
Pennsylvania,11,1991
Rhode Island,10.4,1991
South Carolina,16.4,1991
South Dakota,14,1991
Tennessee,15.5,1991
Texas,17.5,1991
Utah,12.9,1991
Vermont,12.6,1991
Virginia,9.9,1991
Washington,9.5,1991
West Virginia,17.9,1991
Wisconsin,9.9,1991
Wyoming,9.9,1991
Alabama,19.2,1990
Alaska,11.4,1990
Arizona,13.7,1990
Arkansas,19.6,1990
California,13.9,1990
Colorado,13.7,1990
Connecticut,6,1990
Delaware,6.9,1990
D.C.,21.1,1990
Florida,14.4,1990
Georgia,15.8,1990
Hawaii,11,1990
Idaho,14.9,1990
Illinois,13.7,1990
Indiana,13,1990
Iowa,10.4,1990
Kansas,10.3,1990
Kentucky,17.3,1990
Louisiana,23.6,1990
Maine,13.1,1990
Maryland,9.9,1990
Massachusetts,10.7,1990
Michigan,14.3,1990
Minnesota,12,1990
Mississippi,25.7,1990
Missouri,13.4,1990
Montana,16.3,1990
Nebraska,10.3,1990
Nevada,9.8,1990
New Hampshire,6.3,1990
New Jersey,9.2,1990
New Mexico,20.9,1990
New York,14.3,1990
North Carolina,13,1990
North Dakota,13.7,1990
Ohio,11.5,1990
Oklahoma,15.6,1990
Oregon,9.2,1990
Pennsylvania,11,1990
Rhode Island,7.5,1990
South Carolina,16.2,1990
South Dakota,13.3,1990
Tennessee,16.9,1990
Texas,15.9,1990
Utah,8.2,1990
Vermont,10.9,1990
Virginia,11.1,1990
Washington,8.9,1990
West Virginia,18.1,1990
Wisconsin,9.3,1990
Wyoming,11,1990
Alabama,18.9,1989
Alaska,10.5,1989
Arizona,14.1,1989
Arkansas,18.3,1989
California,12.9,1989
Colorado,12.1,1989
Connecticut,2.9,1989
Delaware,10,1989
D.C.,18,1989
Florida,12.5,1989
Georgia,15,1989
Hawaii,11.3,1989
Idaho,12.4,1989
Illinois,12.7,1989
Indiana,13.7,1989
Iowa,10.3,1989
Kansas,10.8,1989
Kentucky,16.1,1989
Louisiana,23.3,1989
Maine,10.4,1989
Maryland,9,1989
Massachusetts,8.8,1989
Michigan,13.2,1989
Minnesota,11.2,1989
Mississippi,22,1989
Missouri,12.6,1989
Montana,15.6,1989
Nebraska,12.8,1989
Nevada,10.8,1989
New Hampshire,7.7,1989
New Jersey,8.2,1989
New Mexico,19.5,1989
New York,12.6,1989
North Carolina,12.2,1989
North Dakota,12.2,1989
Ohio,10.6,1989
Oklahoma,14.7,1989
Oregon,11.2,1989
Pennsylvania,10.4,1989
Rhode Island,6.7,1989
South Carolina,17,1989
South Dakota,13.2,1989
Tennessee,18.4,1989
Texas,17.1,1989
Utah,8.2,1989
Vermont,8,1989
Virginia,10.9,1989
Washington,9.6,1989
West Virginia,15.7,1989
Wisconsin,8.4,1989
Wyoming,10.9,1989
Alabama,19.3,1988
Alaska,11,1988
Arizona,14.1,1988
Arkansas,21.6,1988
California,13.2,1988
Colorado,12.5,1988
Connecticut,4,1988
Delaware,8.6,1988
D.C.,15.2,1988
Florida,13.6,1988
Georgia,14,1988
Hawaii,11.1,1988
Idaho,12.5,1988
Illinois,12.7,1988
Indiana,10.1,1988
Iowa,9.4,1988
Kansas,8.1,1988
Kentucky,17.6,1988
Louisiana,22.8,1988
Maine,13.2,1988
Maryland,9.8,1988
Massachusetts,8.5,1988
Michigan,12.1,1988
Minnesota,11.6,1988
Mississippi,27.2,1988
Missouri,12.7,1988
Montana,14.6,1988
Nebraska,10.3,1988
Nevada,8.6,1988
New Hampshire,6.7,1988
New Jersey,6.2,1988
New Mexico,23,1988
New York,13.4,1988
North Carolina,12.6,1988
North Dakota,11.6,1988
Ohio,12.4,1988
Oklahoma,17.3,1988
Oregon,10.4,1988
Pennsylvania,10.3,1988
Rhode Island,9.8,1988
South Carolina,15.5,1988
South Dakota,14.2,1988
Tennessee,18,1988
Texas,18,1988
Utah,9.8,1988
Vermont,8.1,1988
Virginia,10.8,1988
Washington,8.7,1988
West Virginia,17.9,1988
Wisconsin,7.8,1988
Wyoming,9.6,1988
Alabama,21.3,1987
Alaska,12,1987
Arizona,12.8,1987
Arkansas,21.8,1987
California,12.3,1987
Colorado,12.5,1987
Connecticut,6.6,1987
Delaware,6.6,1987
D.C.,14.9,1987
Florida,12.4,1987
Georgia,14.6,1987
Hawaii,8.8,1987
Idaho,15.1,1987
Illinois,14.4,1987
Indiana,11.1,1987
Iowa,14.5,1987
Kansas,9.2,1987
Kentucky,17.3,1987
Louisiana,25.1,1987
Maine,11.7,1987
Maryland,9.2,1987
Massachusetts,8.2,1987
Michigan,12.2,1987
Minnesota,11.3,1987
Mississippi,25,1987
Missouri,14,1987
Montana,18,1987
Nebraska,11.9,1987
Nevada,10.4,1987
New Hampshire,4.8,1987
New Jersey,8.3,1987
New Mexico,19.4,1987
New York,14.3,1987
North Carolina,13.8,1987
North Dakota,11.4,1987
Ohio,12.7,1987
Oklahoma,17,1987
Oregon,14.2,1987
Pennsylvania,10.6,1987
Rhode Island,8.1,1987
South Carolina,15.6,1987
South Dakota,15.2,1987
Tennessee,16.9,1987
Texas,17.6,1987
Utah,10.2,1987
Vermont,9.3,1987
Virginia,9.9,1987
Washington,10,1987
West Virginia,21.6,1987
Wisconsin,9,1987
Wyoming,10.8,1987
Alabama,23.8,1986
Alaska,11.4,1986
Arizona,14.3,1986
Arkansas,21.3,1986
California,12.7,1986
Colorado,13.5,1986
Connecticut,6,1986
Delaware,12.4,1986
D.C.,12.8,1986
Florida,11.4,1986
Georgia,14.6,1986
Hawaii,10.7,1986
Idaho,18.5,1986
Illinois,13.3,1986
Indiana,12.7,1986
Iowa,12.9,1986
Kansas,11.1,1986
Kentucky,17.7,1986
Louisiana,22,1986
Maine,10.2,1986
Maryland,9.2,1986
Massachusetts,9.2,1986
Michigan,13.9,1986
Minnesota,12.5,1986
Mississippi,26.6,1986
Missouri,14.4,1986
Montana,16.5,1986
Nebraska,13.6,1986
Nevada,8.1,1986
New Hampshire,3.7,1986
New Jersey,8.9,1986
New Mexico,21.3,1986
New York,13.2,1986
North Carolina,14.3,1986
North Dakota,13.5,1986
Ohio,12.8,1986
Oklahoma,14.7,1986
Oregon,12.3,1986
Pennsylvania,10.1,1986
Rhode Island,9.1,1986
South Carolina,17.3,1986
South Dakota,17,1986
Tennessee,18.3,1986
Texas,17.3,1986
Utah,12.6,1986
Vermont,11,1986
Virginia,9.7,1986
Washington,12.9,1986
West Virginia,22.4,1986
Wisconsin,10.7,1986
Wyoming,14.6,1986
Alabama,20.6,1985
Alaska,8.7,1985
Arizona,10.7,1985
Arkansas,22.9,1985
California,13.6,1985
Colorado,10.2,1985
Connecticut,7.6,1985
Delaware,11.4,1985
D.C.,20.4,1985
Florida,13.4,1985
Georgia,17.7,1985
Hawaii,10.7,1985
Idaho,16,1985
Illinois,15.6,1985
Indiana,12,1985
Iowa,17.9,1985
Kansas,13.8,1985
Kentucky,19.4,1985
Louisiana,18.1,1985
Maine,11.9,1985
Maryland,8.7,1985
Massachusetts,9.2,1985
Michigan,14.5,1985
Minnesota,12.6,1985
Mississippi,25.1,1985
Missouri,13.7,1985
Montana,16,1985
Nebraska,14.8,1985
Nevada,14.4,1985
New Hampshire,6,1985
New Jersey,8.3,1985
New Mexico,18.5,1985
New York,15.8,1985
North Carolina,14.2,1985
North Dakota,15.9,1985
Ohio,12.8,1985
Oklahoma,16,1985
Oregon,11.9,1985
Pennsylvania,10.5,1985
Rhode Island,9,1985
South Carolina,15.2,1985
South Dakota,17.3,1985
Tennessee,18.1,1985
Texas,15.9,1985
Utah,10.9,1985
Vermont,9.2,1985
Virginia,10,1985
Washington,12,1985
West Virginia,22.3,1985
Wisconsin,11.6,1985
Wyoming,12,1985
Alabama,19.1,1984
Alaska,9.6,1984
Arizona,18.2,1984
Arkansas,23.9,1984
California,13.2,1984
Colorado,8.9,1984
Connecticut,6.9,1984
Delaware,10.3,1984
D.C.,21.1,1984
Florida,15.1,1984
Georgia,16.9,1984
Hawaii,9.3,1984
Idaho,17.3,1984
Illinois,15,1984
Indiana,12.9,1984
Iowa,14.6,1984
Kansas,10.7,1984
Kentucky,19.1,1984
Louisiana,20.6,1984
Maine,13,1984
Maryland,8.7,1984
Massachusetts,8.9,1984
Michigan,16.7,1984
Minnesota,9.1,1984
Mississippi,25.1,1984
Missouri,14.5,1984
Montana,13.8,1984
Nebraska,13.3,1984
Nevada,10.5,1984
New Hampshire,7.1,1984
New Jersey,10.1,1984
New Mexico,19.5,1984
New York,16,1984
North Carolina,14.6,1984
North Dakota,15.4,1984
Ohio,13.5,1984
Oklahoma,13.3,1984
Oregon,12.8,1984
Pennsylvania,15.6,1984
Rhode Island,12.8,1984
South Carolina,17.2,1984
South Dakota,14.5,1984
Tennessee,17.4,1984
Texas,15.7,1984
Utah,11.1,1984
Vermont,12.6,1984
Virginia,10,1984
Washington,11.3,1984
West Virginia,20.4,1984
Wisconsin,15.5,1984
Wyoming,10.9,1984
Alabama,23,1983
Alaska,12.6,1983
Arizona,16.3,1983
Arkansas,21.5,1983
California,14.9,1983
Colorado,12.6,1983
Connecticut,8.8,1983
Delaware,8.6,1983
D.C.,21.5,1983
Florida,14.7,1983
Georgia,18.8,1983
Hawaii,12.9,1983
Idaho,17.7,1983
Illinois,14.3,1983
Indiana,16.1,1983
Iowa,16.7,1983
Kansas,13.6,1983
Kentucky,17.9,1983
Louisiana,21.5,1983
Maine,12.4,1983
Maryland,8.7,1983
Massachusetts,7.7,1983
Michigan,16.8,1983
Minnesota,12.1,1983
Mississippi,27,1983
Missouri,16.7,1983
Montana,15.4,1983
Nebraska,15.2,1983
Nevada,9.7,1983
New Hampshire,8.1,1983
New Jersey,11.1,1983
New Mexico,24.5,1983
New York,16,1983
North Carolina,15.8,1983
North Dakota,15,1983
Ohio,13.4,1983
Oklahoma,17,1983
Oregon,16.1,1983
Pennsylvania,15.4,1983
Rhode Island,14.5,1983
South Carolina,20.8,1983
South Dakota,18.4,1983
Tennessee,20,1983
Texas,16,1983
Utah,13.5,1983
Vermont,15.6,1983
Virginia,11.3,1983
Washington,10.8,1983
West Virginia,22.1,1983
Wisconsin,10.7,1983
Wyoming,12.6,1983
Alabama,21.6,1982
Alaska,10.6,1982
Arizona,14.8,1982
Arkansas,23.8,1982
California,14.1,1982
Colorado,12.6,1982
Connecticut,8.1,1982
Delaware,11.5,1982
D.C.,19.3,1982
Florida,15.2,1982
Georgia,19.6,1982
Hawaii,13.2,1982
Idaho,15.6,1982
Illinois,13.4,1982
Indiana,12.6,1982
Iowa,13.4,1982
Kansas,10.4,1982
Kentucky,16.2,1982
Louisiana,22.7,1982
Maine,13.7,1982
Maryland,12.3,1982
Massachusetts,10.3,1982
Michigan,16.2,1982
Minnesota,13.3,1982
Mississippi,22.9,1982
Missouri,14.6,1982
Montana,17,1982
Nebraska,13.6,1982
Nevada,7.8,1982
New Hampshire,10.3,1982
New Jersey,12.2,1982
New Mexico,22.4,1982
New York,14.8,1982
North Carolina,20.3,1982
North Dakota,12.9,1982
Ohio,12.8,1982
Oklahoma,15.4,1982
Oregon,13.9,1982
Pennsylvania,13.5,1982
Rhode Island,13.3,1982
South Carolina,21.2,1982
South Dakota,16.8,1982
Tennessee,23.6,1982
Texas,16.2,1982
Utah,14.5,1982
Vermont,12.9,1982
Virginia,12.5,1982
Washington,12.9,1982
West Virginia,24.8,1982
Wisconsin,9.5,1982
Wyoming,12,1982
Alabama,24.1,1981
Alaska,9,1981
Arizona,11.7,1981
Arkansas,24.1,1981
California,13.3,1981
Colorado,9.6,1981
Connecticut,8.2,1981
Delaware,12.3,1981
D.C.,18.1,1981
Florida,16.6,1981
Georgia,16.3,1981
Hawaii,11.3,1981
Idaho,17.7,1981
Illinois,12.1,1981
Indiana,12.6,1981
Iowa,13.1,1981
Kansas,11.7,1981
Kentucky,19.3,1981
Louisiana,22,1981
Maine,16,1981
Maryland,10.7,1981
Massachusetts,8.9,1981
Michigan,13,1981
Minnesota,10.9,1981
Mississippi,25.7,1981
Missouri,13.2,1981
Montana,13.1,1981
Nebraska,14,1981
Nevada,10.5,1981
New Hampshire,7.6,1981
New Jersey,10,1981
New Mexico,18.6,1981
New York,14.4,1981
North Carolina,17.5,1981
North Dakota,14.2,1981
Ohio,12.7,1981
Oklahoma,13.8,1981
Oregon,12.3,1981
Pennsylvania,11.6,1981
Rhode Island,11.7,1981
South Carolina,18.4,1981
South Dakota,19.5,1981
Tennessee,20.9,1981
Texas,15.4,1981
Utah,12.2,1981
Vermont,12.3,1981
Virginia,12.6,1981
Washington,11.3,1981
West Virginia,19.9,1981
Wisconsin,8.1,1981
Wyoming,8.9,1981
Alabama,21.2,1980
Alaska,9.6,1980
Arizona,12.8,1980
Arkansas,21.5,1980
California,11,1980
Colorado,8.6,1980
Connecticut,8.3,1980
Delaware,11.8,1980
D.C.,20.9,1980
Florida,16.7,1980
Georgia,13.9,1980
Hawaii,8.5,1980
Idaho,14.7,1980
Illinois,12.3,1980
Indiana,11.8,1980
Iowa,10.8,1980
Kansas,9.4,1980
Kentucky,19.3,1980
Louisiana,20.3,1980
Maine,14.6,1980
Maryland,9.5,1980
Massachusetts,9.5,1980
Michigan,12.9,1980
Minnesota,8.7,1980
Mississippi,24.3,1980
Missouri,13,1980
Montana,13.2,1980
Nebraska,13,1980
Nevada,8.3,1980
New Hampshire,7,1980
New Jersey,9,1980
New Mexico,20.6,1980
New York,13.8,1980
North Carolina,15,1980
North Dakota,15.5,1980
Ohio,9.8,1980
Oklahoma,13.9,1980
Oregon,11.5,1980
Pennsylvania,9.8,1980
Rhode Island,10.7,1980
South Carolina,16.8,1980
South Dakota,18.8,1980
Tennessee,19.6,1980
Texas,15.7,1980
Utah,10,1980
Vermont,12,1980
Virginia,12.4,1980
Washington,12.7,1980
West Virginia,15.2,1980
Wisconsin,8.5,1980
Wyoming,10.4,1980
